id,organizationId,name,description,createdAt,updatedAt,deletedAt
550e8400-e29b-41d4-a716-446655440001,550e8400-e29b-41d4-a716-446655440000,Sistem Informasi Keuangan,Context untuk mengelola proses bisnis terkait sistem informasi keuangan perusahaan,2025-12-26T10:00:00Z,2025-12-26T10:00:00Z,
550e8400-e29b-41d4-a716-446655440002,550e8400-e29b-41d4-a716-446655440000,Manajemen Sumber Daya Manusia,Context untuk mengelola proses SDM termasuk rekrutmen dan payroll,2025-12-26T10:05:00Z,2025-12-26T10:05:00Z,
550e8400-e29b-41d4-a716-446655440003,550e8400-e29b-41d4-a716-446655440000,Operasional Produksi,Context untuk mengelola proses produksi dan operasional manufaktur,2025-12-26T10:10:00Z,2025-12-26T10:10:00Z,
550e8400-e29b-41d4-a716-446655440004,550e8400-e29b-41d4-a716-446655440000,Penjualan dan Marketing,Context untuk mengelola proses penjualan distribusi dan aktivitas marketing,2025-12-26T10:15:00Z,2025-12-26T10:15:00Z,
550e8400-e29b-41d4-a716-446655440005,550e8400-e29b-41d4-a716-446655440000,Logistik dan Pengiriman,Context untuk mengelola proses logistik penyimpanan dan pengiriman barang,2025-12-26T10:20:00Z,2025-12-26T10:20:00Z,
550e8400-e29b-41d4-a716-446655440006,550e8400-e29b-41d4-a716-446655440000,Teknologi Informasi,Context untuk mengelola infrastruktur IT dan keamanan sistem informasi,2025-12-26T10:25:00Z,2025-12-26T10:25:00Z,
550e8400-e29b-41d4-a716-446655440007,550e8400-e29b-41d4-a716-446655440000,Compliance dan Kepatuhan,Context untuk mengelola kepatuhan terhadap regulasi dan standar industri,2025-12-26T10:30:00Z,2025-12-26T10:30:00Z,
550e8400-e29b-41d4-a716-446655440008,550e8400-e29b-41d4-a716-446655440000,Kesehatan dan Keselamatan Kerja,Context untuk mengelola program K3 dan keselamatan karyawan,2025-12-26T10:35:00Z,2025-12-26T10:35:00Z,
550e8400-e29b-41d4-a716-446655440009,550e8400-e29b-41d4-a716-446655440000,Kualitas Produk,Context untuk mengelola kontrol kualitas dan standar produk,2025-12-26T10:40:00Z,2025-12-26T10:40:00Z,
550e8400-e29b-41d4-a716-446655440010,550e8400-e29b-41d4-a716-446655440000,Penelitian dan Pengembangan,Context untuk mengelola inovasi produk dan pengembangan teknologi baru,2025-12-26T10:45:00Z,2025-12-26T10:45:00Z,
550e8400-e29b-41d4-a716-446655440011,550e8400-e29b-41d4-a716-446655440000,Manajemen Risiko Operasional,Context untuk mengidentifikasi dan mengelola risiko operasional bisnis,2025-12-26T10:50:00Z,2025-12-26T10:50:00Z,
550e8400-e29b-41d4-a716-446655440012,550e8400-e29b-41d4-a716-446655440000,Tata Kelola Perusahaan,Context untuk mengelola governance dan struktur organisasi perusahaan,2025-12-26T10:55:00Z,2025-12-26T10:55:00Z,
550e8400-e29b-41d4-a716-446655440013,550e8400-e29b-41d4-a716-446655440000,Manajemen Aset,Context untuk mengelola inventaris aset perusahaan dan pemeliharaan,2025-12-26T11:00:00Z,2025-12-26T11:00:00Z,
550e8400-e29b-41d4-a716-446655440014,550e8400-e29b-41d4-a716-446655440000,Hubungan Pelanggan,Context untuk mengelola relasi dan kepuasan pelanggan,2025-12-26T11:05:00Z,2025-12-26T11:05:00Z,
550e8400-e29b-41d4-a716-446655440015,550e8400-e29b-41d4-a716-446655440000,Perencanaan Strategis,Context untuk mengelola perencanaan strategis jangka panjang perusahaan,2025-12-26T11:10:00Z,2025-12-26T11:10:00Z,
