id,organizationId,contextId,serviceName,cScore,iScore,aScore,createdAt,updatedAt,deletedAt
550e8400-e29b-41d4-a716-446655440501,550e8400-e29b-41d4-a716-446655440100,550e8400-e29b-41d4-a716-446655440203,Guest Book,3,3,2,2026-01-14T00:00:00Z,2026-01-14T00:00:00Z,
550e8400-e29b-41d4-a716-446655440502,550e8400-e29b-41d4-a716-446655440100,550e8400-e29b-41d4-a716-446655440205,Administrator,4,4,3,2026-01-14T00:00:00Z,2026-01-14T00:00:00Z,
550e8400-e29b-41d4-a716-446655440503,550e8400-e29b-41d4-a716-446655440100,550e8400-e29b-41d4-a716-446655440204,Kos Moklet,3,3,2,2026-01-14T00:00:00Z,2026-01-14T00:00:00Z,
550e8400-e29b-41d4-a716-446655440504,550e8400-e29b-41d4-a716-446655440100,550e8400-e29b-41d4-a716-446655440201,SINA Siswa,4,4,4,2026-01-14T00:00:00Z,2026-01-14T00:00:00Z,
550e8400-e29b-41d4-a716-446655440505,550e8400-e29b-41d4-a716-446655440100,550e8400-e29b-41d4-a716-446655440201,SINA BK,5,4,3,2026-01-14T00:00:00Z,2026-01-14T00:00:00Z,
550e8400-e29b-41d4-a716-446655440506,550e8400-e29b-41d4-a716-446655440100,550e8400-e29b-41d4-a716-446655440201,SINA Kesiswaan,4,4,3,2026-01-14T00:00:00Z,2026-01-14T00:00:00Z,
550e8400-e29b-41d4-a716-446655440507,550e8400-e29b-41d4-a716-446655440100,550e8400-e29b-41d4-a716-446655440201,Curriculum,5,5,4,2026-01-14T00:00:00Z,2026-01-14T00:00:00Z,
550e8400-e29b-41d4-a716-446655440508,550e8400-e29b-41d4-a716-446655440100,550e8400-e29b-41d4-a716-446655440201,Teacher,5,5,5,2026-01-14T00:00:00Z,2026-01-14T00:00:00Z,
550e8400-e29b-41d4-a716-446655440509,550e8400-e29b-41d4-a716-446655440100,550e8400-e29b-41d4-a716-446655440201,Duty Teacher,4,4,4,2026-01-14T00:00:00Z,2026-01-14T00:00:00Z,
550e8400-e29b-41d4-a716-446655440510,550e8400-e29b-41d4-a716-446655440100,550e8400-e29b-41d4-a716-446655440203,Human Resource,5,4,3,2026-01-14T00:00:00Z,2026-01-14T00:00:00Z,
550e8400-e29b-41d4-a716-446655440511,550e8400-e29b-41d4-a716-446655440100,550e8400-e29b-41d4-a716-446655440203,Letter Number,3,4,3,2026-01-14T00:00:00Z,2026-01-14T00:00:00Z,
550e8400-e29b-41d4-a716-446655440512,550e8400-e29b-41d4-a716-446655440100,550e8400-e29b-41d4-a716-446655440204,Website Orang Tua,4,3,4,2026-01-14T00:00:00Z,2026-01-14T00:00:00Z,
550e8400-e29b-41d4-a716-446655440513,550e8400-e29b-41d4-a716-446655440100,550e8400-e29b-41d4-a716-446655440201,Layanan Siswa,3,3,3,2026-01-14T00:00:00Z,2026-01-14T00:00:00Z,
550e8400-e29b-41d4-a716-446655440514,550e8400-e29b-41d4-a716-446655440100,550e8400-e29b-41d4-a716-446655440201,Layanan Guru & Karyawan,3,3,3,2026-01-14T00:00:00Z,2026-01-14T00:00:00Z,
550e8400-e29b-41d4-a716-446655440515,550e8400-e29b-41d4-a716-446655440100,550e8400-e29b-41d4-a716-446655440205,Admin Sarpras,4,4,4,2026-01-14T00:00:00Z,2026-01-14T00:00:00Z,
